,barcode01.csv,barcode02.csv,barcode03.csv,barcode04.csv,barcode05.csv,barcode06.csv,barcode07.csv,barcode08.csv,barcode09.csv,barcode10.csv,barcode11.csv,barcode12.csv,barcode13.csv,barcode14.csv,barcode15.csv,barcode16.csv,barcode17.csv,barcode18.csv,barcode19.csv,barcode20.csv,barcode21.csv,barcode22.csv,barcode23.csv,barcode24.csv,barcode25.csv,barcode26.csv,barcode27.csv,barcode28.csv,barcode29.csv,barcode30.csv,barcode31.csv,barcode32.csv,barcode33.csv,barcode34.csv,barcode35.csv,barcode36.csv,barcode37.csv,barcode38.csv,barcode39.csv,barcode40.csv,barcode41.csv,barcode42.csv,barcode43.csv,barcode44.csv,barcode45.csv,barcode46.csv,barcode47.csv,barcode48.csv,barcode49.csv,barcode50.csv,barcode51.csv,barcode52.csv,barcode53.csv,barcode54.csv,barcode55.csv,barcode56.csv,barcode57.csv,barcode58.csv,barcode59.csv,barcode60.csv,barcode61.csv,barcode62.csv,barcode63.csv,barcode64.csv,barcode65.csv,barcode66.csv,barcode67.csv,barcode68.csv,barcode69.csv,barcode70.csv,barcode71.csv,barcode72.csv,barcode73.csv,barcode74.csv,barcode75.csv,barcode76.csv,barcode77.csv,barcode78.csv,barcode79.csv,barcode80.csv,barcode81.csv,barcode82.csv,barcode83.csv,barcode84.csv,barcode85.csv,barcode86.csv,barcode87.csv,barcode88.csv,barcode89.csv,barcode90.csv,barcode91.csv,barcode92.csv,barcode93.csv,barcode94.csv,barcode95.csv,barcode96.csv
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Arthoniales;f__Arthoniaceae;g__Reichlingia;s__Reichlingia_leopoldii,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Arthoniales;f__Chrysotrichaceae;g__Chrysothrix;s__Chrysothrix_flavovirens,13,123,1017,10,21,193,11,18,6,1,30,20029,2729,18,13,6,105,3,13,81,116,14,92,71,90,106,1260,80,78,3,178,448,21,13,27,11,1,2,15,116,9,121,25,15,266,2,670,18,7,8,95,24,25,102,97,22,14,20,14,81,130,33,14,1,12,19,18,3,1,30,176,96,105,25,2,4,8,18,29,6,32,960,4,33,25,427,95,130,116,293,212,119,95,8,88,154
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Arthoniales;f__Chrysotrichaceae;g__Chrysothrix;s__Chrysothrix_sp,1,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,304,0,0,0,0,0,5919,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,19,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Arthoniales;f__Opegraphaceae;g__Opegrapha;s__Opegrapha_vermicellifera,2,19,32,13,4,29,6,5,119,4,7,2,1,3,1628,198,13,110,5,17,21,9,14,13,24,19,1,16,0,134,15,22,3,4,5,33,158,106,5,23,159,18,6,8,12,1,29,9,81,182,25,7,6,17,20,6,198,3,4,19,1,7,5,1,7,5,7,38,5,4,1,23,13,3,1,880,155,8,7,203,6,1,26,1,7,28,16,790,24,1,1,22,22,5,17,4
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Arthoniales;f__Roccellaceae;g__Gyrographa;s__Gyrographa_gyrocarpa,6,5,8,247,11,8,5,8,20,610,10,5,47,13,37,19,8,20,8,3,5,10,6,4,2,7,23,4,15,19,4,6,6,8,2,1,1,12,11,5,1,6,7,12,1,5,21,29,14,16,2,10,15,5,5,7,14,1,11,7,17,19,7,86,14,7,10,3,395,11,28,2,5,34,1,28,24,7,5,46,9,30,3,15,9,5,4,31,6,60,8,6,21,5,2,8
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Arthoniomycetes_ord_Incertae_sedis;f__Arthoniomycetes_fam_Incertae_sedis;g__Arthoniomycetes_gen_Incertae_sedis;s__Arthoniomycetes_sp,12,4,13,21,28,12,24,23,18,26,23,309,19,15,12,8,8,3,24,6,7,22,12,4,8,8,4,5,7,11,6,10,16,14,21,5,37,5,16,11,20,7,18,30,8,1969,70,9,5,6,7,24,176,4,15,13,28,22,17,6,7,1,24,23,18,18,26,73,37,1,6,7,1,1,5,493,7,47,31,1,18,348,50,23,46,11,8,26,9,15,7,14,14,10,5,14
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Lichenostigmatales;f__Lichenostigmatales_fam_Incertae_sedis;g__Lichenostigmatales_gen_Incertae_sedis;s__Lichenostigmatales_sp,6,39,50,11,34,22,15,18,12,1,24,1,3,18,1,7,21,6,10,20,11,18,12,13,18,24,6,13,17,28,20,1,21,7,17,12,11,9,16,20,50,72,25,12,17,28,1,27,7,10,13,14,159,15,1,21,12,28,18,14,9,22,14,5,18,24,17,91,12,20,9,22,12,1,2047,777,8,28,21,19,21,902,98,24,195,28,19,53,16,29,22,21,67,10,16,10
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Lichenostigmatales;f__Phaeococcomycetaceae;g__Antarctolichenia;s__Antarctolichenia_onofrii,6,15,32,55,3,27,3,1,19,12,5,37,452,3,25,12,20,18,4,13,10,4,13,9,17,26,1,7,13,27,39,49,4,1,6,1,15,17,3,20,71,22,3,3,12,7,19,5,23,36,12,4,69,22,17,3,71,4,5,14,24,31,5,7,5,2,4,28,9,17,32,12,20,161,28,43,795,13,9,16,6,50,30,116,54,15,20,22,26,1,24,26,10,2,17,3
k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp,3065,5,6,223,320,4,274,283,14,28,2461,2,861,1,56,20,3,8,318,5,3,252,5,2,5,4,18,6,4,36,5,27,255,195,2,26,22,22,210,6,80,24,311,322,4,5,66,277,19,15,4,1,2,5,18,273,21,238,236,2,24,4,269,16,264,304,302,61,33,6,32,6,6,546,7,593,24,650,381,24,1056,185,39,30,3,7,2,5,3,56,9,3,7,176,4,1
k__Fungi;p__Ascomycota;c__Candelariomycetes;o__Candelariales;f__Pycnoraceae;g__Pycnora;s__Pycnora_sp,23,3366,2275,27,1,1,29,17,5,72,214,1,169,279,42,4,1,4,36,1,314,19,275,1,2,291,29,222,273,6,278,12,1,13,542,214,22,5,1,2,87,423,30,10,602,20,9,1,2,4,270,295,1044,3,4,27,5,2,18,179,2,940,18,17,17,24,1,55,38,1,18,322,240,33,1802,9,166,26,2,41,21,8,12,545,1174,561,2,576,1,59,1,266,1,13,1,316
