"","K","P","C","O","Fa","G","S","C7D_1_B","C7D_2_T","C7D_2_B","C7D_3_B","C7D_4_B","C7D_5_T","C8D_1_T","C8D_2_B","C8D_2_T","A4D_1_B","A4D_1_T","A4D_2_B","A4D_2_T","A4D_3_B","A4D_3_T","A4D_4_B","A4D_4_T","A4D_5_B","A4D_5_T","A4L_1_NA","A4L_3_NA","A4L_5_NA","A4S_NA_NA","A5D_1_T","A5D_2_T","A5D_3_T","A5D_4_B","A5D_4_T","A5D_5_B","A5D_5_T","A5L_2_NA","A5L_3_NA","A5L_4_NA","A5L_5_NA","A5S_NA_NA","A2D_1_B","A2D_1_T","A2D_2_B","A2D_3_B","A2D_3_T","A2D_4_B","A2D_4_T","A2D_5_B","A2D_5_T","A2L_1_NA","A2L_2_NA","A2L_3_NA","A2L_4_NA","A2L_5_NA","A2S_NA_NA","C4D_1_B","C4D_1_T","C4D_2_B","C4D_2_T","C4D_3_B","C4D_3_T","C4D_4_B","C4D_4_T","C4D_5_B","C4D_5_T","C4L_1_NA","C4L_2_NA","C4L_4_NA","C4S_NA_NA","A6D_1_B","A6D_1_T","A6D_2_B","A6D_2_T","A6D_3_B","A6D_3_T","A6D_4_B","A6D_4_T","A6D_5_B","A6D_5_T","A6L_1_NA","A6L_2_NA","A6L_5_NA","A6S_NA_NA","C5D_1_B","C5D_1_T","C5D_2_B","C5D_2_T","C5D_3_B","C5D_4_B","C5D_4_T","C5D_5_B","C5L_3_NA","C5L_4_NA","C5L_5_NA","C5S_NA_NA","GOD_5_B","GOD_5_T","GOL_1_NA","GOL_2_NA","GOL_3_NA","GOL_4_NA","GOL_5_NA","GOS_NA_NA","GMD_1_B","GMD_1_T","GMD_2_B","GMD_4_B","GMD_4_T","GMD_5_B","GMD_5_T","GML_1_NA","GML_3_NA","GML_4_NA","GML_5_NA","GMS_NA_NA","ROD_1_B","ROD_1_T","ROD_2_B","ROD_3_B","ROD_4_B","ROD_4_T","ROD_5_B","ROD_5_T","ROL_2_NA","ROL_4_NA","ROL_5_NA","RMD_2_B","RMD_2_T","RMD_3_B","RMD_4_B","RMD_4_T","RMD_5_B","RMD_5_T","RML_1_NA","RML_2_NA","RML_3_NA","RML_5_NA","C7D_5_B","C8D_1_B","A4L_2_NA","A4L_4_NA","A5D_1_B","A5L_1_NA","C4L_3_NA","C4L_5_NA","A6L_3_NA","A6L_4_NA","C5D_3_T","C5L_1_NA","C5D_5_T"
"1","site",NA,NA,NA,NA,NA,NA,"C7","C7","C7","C7","C7","C7","C8","C8","C8","A4","A4","A4","A4","A4","A4","A4","A4","A4","A4","A4","A4","A4","A4","A5","A5","A5","A5","A5","A5","A5","A5","A5","A5","A5","A5","A2","A2","A2","A2","A2","A2","A2","A2","A2","A2","A2","A2","A2","A2","A2","C4","C4","C4","C4","C4","C4","C4","C4","C4","C4","C4","C4","C4","C4","A6","A6","A6","A6","A6","A6","A6","A6","A6","A6","A6","A6","A6","A6","C5","C5","C5","C5","C5","C5","C5","C5","C5","C5","C5","C5","GO","GO","GO","GO","GO","GO","GO","GO","GM","GM","GM","GM","GM","GM","GM","GM","GM","GM","GM","GM","RO","RO","RO","RO","RO","RO","RO","RO","RO","RO","RO","RM","RM","RM","RM","RM","RM","RM","RM","RM","RM","RM","C7","C8","A4","A4","A5","A5","C4","C4","A6","A6","C5","C5","C5"
"2","sample_type",NA,NA,NA,NA,NA,NA,"D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","L","L","L","S","D","D","D","D","D","D","D","L","L","L","L","S","D","D","D","D","D","D","D","D","D","L","L","L","L","L","S","D","D","D","D","D","D","D","D","D","D","L","L","L","S","D","D","D","D","D","D","D","D","D","D","L","L","L","S","D","D","D","D","D","D","D","D","D","D","D","S","D","D","L","L","L","L","L","S","D","D","D","D","D","D","D","L","L","L","L","S","D","D","D","D","D","D","D","D","L","L","L","D","D","D","D","D","D","D","L","L","L","L","D","D","L","L","D","L","L","L","L","L","D","L","D"
"3","tree",NA,NA,NA,NA,NA,NA,"1","2","2","3","4","5","1","2","2","1","1","2","2","3","3","4","4","5","5","1","3","5",NA,"1","2","3","4","4","5","5","2","3","4","5",NA,"1","1","2","3","3","4","4","5","5","1","2","3","4","5",NA,"1","1","2","2","3","3","4","4","5","5","1","2","4",NA,"1","1","2","2","3","3","4","4","5","5","1","2","5",NA,"1","1","2","2","3","4","4","5","3","4","5",NA,"5","5","1","2","3","4","5",NA,"1","1","2","4","4","5","5","1","3","4","5",NA,"1","1","2","3","4","4","5","5","2","4","5","2","2","3","4","4","5","5","1","2","3","5","5","1","2","4","1","1","3","5","3","4","3","1","5"
"4","sample_loc",NA,NA,NA,NA,NA,NA,"B","T","B","B","B","T","T","B","T","B","T","B","T","B","T","B","T","B","T",NA,NA,NA,NA,"T","T","T","B","T","B","T",NA,NA,NA,NA,NA,"B","T","B","B","T","B","T","B","T",NA,NA,NA,NA,NA,NA,"B","T","B","T","B","T","B","T","B","T",NA,NA,NA,NA,"B","T","B","T","B","T","B","T","B","T",NA,NA,NA,NA,"B","T","B","T","B","B","T","B",NA,NA,NA,NA,"B","T",NA,NA,NA,NA,NA,NA,"B","T","B","B","T","B","T",NA,NA,NA,NA,NA,"B","T","B","B","B","T","B","T",NA,NA,NA,"B","T","B","B","T","B","T",NA,NA,NA,NA,"B","B",NA,NA,"B",NA,NA,NA,NA,NA,"T",NA,"T"
"5","DBH",NA,NA,NA,NA,NA,NA,"3.6","23.3","23.3","18.4","28","20","24","20.8","20.8","26","26","25.6","25.6","28.1","28.1","32","32","27.2","27.2",NA,NA,NA,NA,"18","25.3","9.3","12.1","12.1","19.1","19.1",NA,NA,NA,NA,NA,"17","17","11.7","16","16","25","25","15.8","15.8",NA,NA,NA,NA,NA,NA,"21","21","26.3","26.3","32","32","23.5","23.5","25","25",NA,NA,NA,NA,"25.9","25.9","8.9","8.9","22","22","30","30","24","24",NA,NA,NA,NA,"18.5","18.5","14.4","14.4","21","21.2","21.2","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","24",NA,NA,"18",NA,NA,NA,NA,NA,"21",NA,"21"
"6","length",NA,NA,NA,NA,NA,NA,"16.2","13.5","13.5","12.6","13.2","11.5","3.6","11.9","11.9","11.5","11.5","13.5","13.5","14.2","14.2","20.3","20.3","14.5","14.5",NA,NA,NA,NA,"16.1","15.6","8.5","9.8","9.8","14.6","14.6",NA,NA,NA,NA,NA,"4.9","4.9","7.6","7.8","7.8","18.1","18.1","8.9","8.9",NA,NA,NA,NA,NA,NA,"11.6","11.6","15.2","15.2","16.4","16.4","15.8","15.8","2.3","2.3",NA,NA,NA,NA,"15.4","15.4","5.1","5.1","10.2","10.2","16.8","16.8","14.8","14.8",NA,NA,NA,NA,"10.4","10.4","8.2","8.2","2.8","13.8","13.8","5.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.5","3.6",NA,NA,"16.1",NA,NA,NA,NA,NA,"2.8",NA,"5.4"
"7","decay_stage",NA,NA,NA,NA,NA,NA,"3","2","2","3","3","4","4","2","2","2","2","3","3","2","2","2","2","2","2",NA,NA,NA,NA,"2","1","2","2","2","3","3",NA,NA,NA,NA,NA,"3","3","3","3","3","2","2","4","4",NA,NA,NA,NA,NA,NA,"2","2","2","2","3","3","3","3","4","4",NA,NA,NA,NA,"1","1","2","2","1","1","1","1","1","1",NA,NA,NA,NA,"3","3","4","4","5","3","3","5",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"3","3","6","5","5",NA,NA,NA,NA,NA,NA,NA,"4","4","3","3","3","3","3","3",NA,NA,NA,"2","2","2","4","4","5","5",NA,NA,NA,NA,"4","4",NA,NA,"2",NA,NA,NA,NA,NA,"5",NA,"5"
"8","avg_soil_moist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.28","20.28","20.28","20.28","20.28","20.28","20.28","20.28","20.28","20.28","20.28","20.28","20.28","20.28","27.38","27.38","27.38","27.38","27.38","27.38","27.38","27.38","27.38","27.38","27.38","27.38","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","32.84","36.06","36.06","36.06","36.06","36.06","36.06","36.06","36.06","36.06","36.06","36.06","36.06","36.06","36.06","13.56","13.56","13.56","13.56","13.56","13.56","13.56","13.56","13.56","13.56","13.56","13.56","13.56","13.56","30.04","30.04","30.04","30.04","30.04","30.04","30.04","30.04","30.04","30.04","30.04","30.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.28","20.28","27.38","27.38","36.06","36.06","13.56","13.56","30.04","30.04","30.04"
"9","avg_soil_ph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.156","5.156","5.156","5.156","5.156","5.156","5.156","5.156","5.156","5.156","5.156","5.156","5.156","5.156","4.518","4.518","4.518","4.518","4.518","4.518","4.518","4.518","4.518","4.518","4.518","4.518","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.314","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.716","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.066","4.852","4.852","4.852","4.852","4.852","4.852","4.852","4.852","4.852","4.852","4.852","4.852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.156","5.156","4.518","4.518","4.716","4.716","4.066","4.066","4.852","4.852","4.852"
"20","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","Archaeorhizomyces_borealis","0","0","3","1","0","3","0","0","0","0","0","0","0","36","0","7","0","0","0","0","0","1","31","5","0","26","1","0","17","2","0","0","0","0","3","0","2","0","0","3","1","0","0","0","5","0","0","0","41","2","0","0","0","0","0","1","0","0","39","4","0","0","1","0","0","0","0","0","0","1","1","3","0","0","0","0","0","0","4","0","2","0","0","0","0","0","0","249","92","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","24","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","Archaeorhizomyces_sp","7","1","1","1","2","1","5","7","13734","4","3","58624","3","96618","3604","1","2116","3","2836","12","2","1","1","1","2176","2","1","2","3212","1","9856","2","2","9","1","10","2","4","5","15","1","4","4","3771","31403","0","7","6","17292","2","5","5","7","14","7","10551","6","4","1","2","4","2","23381","4","5","2","5","1","4","2","1","1","59284","1","4","12069","7","9","1","4","2","7536","9","2","9","1","2260","30","169","2","1","4","1","5","0","0","0","18","8","1","36777","0","0","6","1","0","0","0","457","1","1","3","0","0","6","0","0","0","0","0","0","1","0","4","0","0","4","0","15","0","0","0","0","0","28","10","2","0","0","0","0","0","0","1","3"
"24","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","Arthonia","Arthonia_albopulverea","0","0","0","0","0","0","0","0","0","0","115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","115","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","3","0","0","0","0","0","0","0","0","0","21","0","0","0","34","0","0","0","0","0","0","1","1","2","0","5","0","0","0","0","0","1","0","1","1","67","1","0","0","13","4","2","0","1","0","0","0","0","0","1","0","2","0","16","0","0","0","1","0","85","0","0","0","0","0","6","1","0","0","15"
"26","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","Arthonia","Arthonia_didyma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96","0","2","0","0","107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","140","0","0","1","0","0","0","0","2","0","0","6","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","24","1","0","0","0","0","439","0","2","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","7","0","11","0"
"27","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","Arthonia","Arthonia_dispersa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","10","0","0","0","0","0","1","1","4","0","13","1","227","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","69","0","3","0","0","0","0","0","71","0","0","0","0","0","0","1","219"
"28","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","Arthonia","Arthonia_mediella","0","0","0","0","0","0","0","0","21","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","362","0","0","0","0","128","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","14"
"31","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","Arthothelium","Arthothelium_scandinavicum","6","1","5","29951","4","2","3","6","22","7","2","7","1","2","4","5","13","1","5","1","6","6","1","5","3","11","4","1","1","5","10","5","2","3","2","1","37","1","1","37289","6","4","8","8","1","4282","63","1","1","0","3","8","1","1","6","1","5","6","2","4","9","8","33","3","6","6","1","11815","9","8","5","5","9","12880","1","6","5","8","13","4","4","3","6","4","1","1","8","844","1","1","3","5","3","3","0","2","1","0","8","31","30","0","3","9","1","0","0","0","0","3","15","2","53","0","3","1","0","0","0","0","0","0","0","23","0","0","52","3439","2","0","0","0","1","0","1","2","0","0","0","0","334","33","0","12","1"
"33","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","Diarthonis","Diarthonis_spadicea","104","6","6","1","125","9","124","108","1","598","2","9","80","10","1","6","1","82","8","5","106","4","6","6","2","9","2","6","17","7","10","93","88","444","1","10","1","111","5","1","5","107","85","4","4","6","136","1","2","3","116","172","10","5","80","7","82","99","1","2","571","114","189","112","107","119","1","6","100","11","4","2","1","7","3","1","506","145","1","394","2","1","181","272","8","6","4","15","4","4","4","62","4","124","3","1","1","1","2","6049","1","44","1","1","16693","1","1","2","2277","2","4","3303","1","1","2","1","1","3","1","4","65","1","23","1","1","32","1","1","4","97","1","2","1","5786","1","2","3","311","8","20","740","1","6","1","1"
"35","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniales_fam_Incertae_sedis","Bactrospora","Bactrospora_homalotropa","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","512","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","3","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"37","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Chrysotrichaceae","Chrysothrix","Chrysothrix_flavovirens","13","123","1017","10","21","193","11","18","6","30","20029","2729","18","13","6","105","3","13","81","116","14","92","71","90","106","1260","80","78","3","178","448","21","13","27","11","1","2","15","116","9","121","25","15","266","2","670","18","7","8","95","24","25","102","97","22","14","20","14","81","130","33","14","1","12","19","18","3","1","30","176","96","105","25","2","4","8","18","29","6","32","960","4","33","25","427","95","116","293","212","119","95","8","88","154","0","0","0","0","0","0","0","0","3","8","76","1","0","0","0","0","0","0","0","0","0","0","2","0","15","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"38","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Chrysotrichaceae","Chrysothrix","Chrysothrix_sp","1","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","124","0","0","0","0","452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","304","0","0","0","0","0","5919","0","0","0","0","0","0","0","0","380","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4427","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"40","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Opegraphaceae","Opegrapha","Opegrapha_vermicellifera","2","19","32","13","4","29","6","5","119","7","2","1","3","1628","198","13","110","5","17","21","9","14","13","24","19","1","16","0","134","15","22","3","4","5","33","158","106","5","23","159","18","6","8","12","1","29","9","81","182","25","7","6","17","20","6","198","3","4","19","1","7","5","1","7","5","7","38","5","4","1","23","13","3","1","880","155","8","7","203","6","1","26","1","7","28","16","24","1","1","22","22","5","17","4","0","0","4","1","1","2","0","0","1","4718","2","21","0","0","12","1","1","11","4","0","49","6737","1","0","0","0","0","0","0","0","0","8","0","159","4","1","24","2","0","70","0","0","130","1","0","0","1","8","0","0","26"
"42","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","Gyrographa","Gyrographa_gyrocarpa","6","5","8","247","11","8","5","8","20","10","5","47","13","37","19","8","20","8","3","5","10","6","4","2","7","23","4","15","19","4","6","6","8","2","1","1","12","11","5","1","6","7","12","1","5","21","29","14","16","2","10","15","5","5","7","14","1","11","7","17","19","7","86","14","7","10","3","395","11","28","2","5","34","1","28","24","7","5","46","9","30","3","15","9","5","4","6","60","8","6","21","5","2","8","0","0","1","2","1","0","1","1","3","20","1","1","0","0","196","1","2","1","0","0","3","9","25","0","0","0","0","0","0","9","0","151","1","22","1","2","1","0","0","31","2","56","22","275","0","0","1","31","0","0","5"
"55","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Antarctolichenia","Antarctolichenia_onofrii","6","15","32","55","3","27","3","1","19","5","37","452","3","25","12","20","18","4","13","10","4","13","9","17","26","1","7","13","27","39","49","4","1","6","1","15","17","3","20","71","22","3","3","12","7","19","5","23","36","12","4","69","22","17","3","71","4","5","14","24","31","5","7","5","2","4","28","9","17","32","12","20","161","28","43","795","13","9","16","6","50","30","116","54","15","20","26","1","24","26","10","2","17","3","0","0","0","26","0","0","0","0","418","2","0","1","0","0","0","2","5","1","1","0","0","48","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","6","0","0","0","5","1","0","0","1"
"59","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","Phaeococcomyces_sp","0","0","0","2","0","14","0","0","2","0","2","1","3","27","0","4","0","0","2","0","0","0","4","1","0","0","0","0","0","0","0","0","0","1","5","1","0","0","1","1004","0","0","0","0","0","0","0","0","0","0","5","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","44","0","0","0","1","111","0","8","0","0","1","0","11","0","0","139","0","9","3","5","1","0","12","0","3","9","0","0","0","2","0","0","0","0","0","14","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0","3","0","0","0","8","2","1","0","0","0","0","1","0","0","9"
"63","Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Bispora","Bispora_betulina","0","2","0","1","3","0","0","0","688","0","0","0","11","0","0","0","0","0","1","0","0","0","0","4","3","0","1","0","0","0","0","1","0","0","338","0","0","2","10","0","0","0","0","1","0","31","0","0","0","1","0","3","0","5","0","0","2","0","0","0","0","0","4","0","0","45","0","1","0","0","16","0","3","0","0","0","0","2","0","0","1","3","3","6","1","0","0","52","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","20","1","0","0","0","0","0","0","6","0"
"70","Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Everhartia","Everhartia_hymenuloides","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","776","0","0","0","0","0","0","0","0","0","0","16","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","12","2","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","Fungi","Ascomycota","Candelariomycetes","Candelariales","Pycnoraceae","Pycnora","Pycnora_sorophora","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","503","27","0","0","0","0","0","0","0","0","0","0","0","23","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","2208"
"97","Fungi","Ascomycota","Candelariomycetes","Candelariales","Pycnoraceae","Pycnora","Pycnora_sp","23","3366","2275","27","1","1","29","17","5","214","1","169","279","42","4","1","4","36","1","314","19","275","1","2","291","29","222","273","6","278","12","1","13","542","214","22","5","1","2","87","423","30","10","602","20","9","1","2","4","270","295","1044","3","4","27","5","2","18","179","2","940","18","17","17","24","1","55","38","1","18","322","240","33","1802","9","166","26","2","41","21","8","12","545","1174","561","2","1","59","1","266","1","13","1","316","1","2","19","3","4","1","1","1","139","1","1","12","1","22","2","1","4","1","9","2","2","2","2","1","1","0","1","9","0","1","0","69","6","1618","254542","1","5","1","2","2","52689","62","146","12","3","3","2","2","1","2","3513"
"99","Fungi","Ascomycota","Coniocybomycetes","Coniocybales","Coniocybaceae","Chaenotheca","Chaenotheca_chlorella","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","Fungi","Ascomycota","Coniocybomycetes","Coniocybales","Coniocybaceae","Chaenotheca","Chaenotheca_chrysocephala","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","10161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","385","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","258","0","0","0","0","0","0","0","0","0","247","0","0","0","0","0","0","0","0","0","0","5","0","18","68","1","0","0","0","1","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","Fungi","Ascomycota","Coniocybomycetes","Coniocybales","Coniocybaceae","Chaenotheca","Chaenotheca_ferruginea","0","0","0","0","0","0","0","596","0","0","0","0","0","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","5","0","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","18","0","0","0","0","0","3","0","0","0","0","10","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","0","0","0","0","0","0","2","0","0","2","30","3","0","0","3","2","0","0","0","0","1","1","1","7","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","17"
"107","Fungi","Ascomycota","Coniocybomycetes","Coniocybales","Coniocybaceae","Chaenotheca","Chaenotheca_trichialis","0","0","113","0","0","0","0","0","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","Fungi","Ascomycota","Coniocybomycetes","Coniocybales","Coniocybaceae","Chaenotheca","Chaenotheca_xyloxena","1","0","0","6","1","0","0","0","0","0","294","139","1","0","0","288","0","0","0","22","2","20","2","268","2","0","0","0","0","19","0","26","0","1","0","8","287","0","0","16","0","0","1","1","54","0","28","0","0","0","0","1","0","272","1","1","0","0","19","0","1","0","0","2","0","0","4682","0","279","0","0","1","458","1938","0","0","0","1","16","0","3","0","2","1","0","0","0","0","0","0","288","0","267","0","0","0","0","1","5","0","1","0","0","0","5","1","0","0","1","1","1","0","0","0","3","1","2","0","0","0","0","2","0","0","1","0","0","0","11","0","0","0","0","0","9","275","1","0","1","0","212","1","0","0","0"
