"","K","P","C","O","Fa","G","S","C7D_1_B","C7D_2_T","C7D_2_B","C7D_3_B","C7D_4_B","C7D_5_T","C8D_1_T","C8D_2_B","C8D_2_T","A4D_1_B","A4D_1_T","A4D_2_B","A4D_2_T","A4D_3_B","A4D_3_T","A4D_4_B","A4D_4_T","A4D_5_B","A4D_5_T","A4L_1_NA","A4L_3_NA","A4L_5_NA","A4S_NA_NA","A5D_1_T","A5D_2_T","A5D_3_T","A5D_4_B","A5D_4_T","A5D_5_B","A5D_5_T","A5L_2_NA","A5L_3_NA","A5L_4_NA","A5L_5_NA","A5S_NA_NA","A2D_1_B","A2D_1_T","A2D_2_B","A2D_3_B","A2D_3_T","A2D_4_B","A2D_4_T","A2D_5_B","A2D_5_T","A2L_1_NA","A2L_2_NA","A2L_3_NA","A2L_4_NA","A2L_5_NA","A2S_NA_NA","C4D_1_B","C4D_1_T","C4D_2_B","C4D_2_T","C4D_3_B","C4D_3_T","C4D_4_B","C4D_4_T","C4D_5_B","C4D_5_T","C4L_1_NA","C4L_2_NA","C4L_4_NA","C4S_NA_NA","A6D_1_B","A6D_1_T","A6D_2_B","A6D_2_T","A6D_3_B","A6D_3_T","A6D_4_B","A6D_4_T","A6D_5_B","A6D_5_T","A6L_1_NA","A6L_2_NA","A6L_5_NA","A6S_NA_NA","C5D_1_B","C5D_1_T","C5D_2_B","C5D_2_T","C5D_3_B","C5D_4_B","C5D_4_T","C5D_5_B","C5L_3_NA","C5L_4_NA","C5L_5_NA","C5S_NA_NA","GOD_5_B","GOD_5_T","GOL_1_NA","GOL_2_NA","GOL_3_NA","GOL_4_NA","GOL_5_NA","GOS_NA_NA","GMD_1_B","GMD_1_T","GMD_2_B","GMD_4_B","GMD_4_T","GMD_5_B","GMD_5_T","GML_1_NA","GML_3_NA","GML_4_NA","GML_5_NA","GMS_NA_NA","ROD_1_B","ROD_1_T","ROD_2_B","ROD_3_B","ROD_4_B","ROD_4_T","ROD_5_B","ROD_5_T","ROL_2_NA","ROL_4_NA","ROL_5_NA","RMD_2_B","RMD_2_T","RMD_3_B","RMD_4_B","RMD_4_T","RMD_5_B","RMD_5_T","RML_1_NA","RML_2_NA","RML_3_NA","RML_5_NA","C7D_5_B","C8D_1_B","A4L_2_NA","A4L_4_NA","A5D_1_B","A5L_1_NA","C4L_3_NA","C4L_5_NA","A6L_3_NA","A6L_4_NA","C5D_3_T","C5L_1_NA","C5D_5_T"
"8753","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Acanthobasidium","Acanthobasidium_sp","0","0","0","1","0","0","0","0","8","0","36","94","0","166","0","0","0","0","0","0","103","0","0","695","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13136","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","221","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","109","0","0","0","0","0","0","0","0","86","15","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","5","45","4","0","0","0","0","31","0","0","0","0","0","1","281","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","2"
"8766","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","Stereum_gausapatum","2","0","9","1588","4","1","2","0","2","8","10","2","1","2","1","4","0","6","0","0","9","1","3","8","1","0","0","0","0","0","0","6","1","1","0","0","1","49","0","0","10","4","0","2","0","0","1","0","2","0","0","2","2","6","3","1","0","1","0","4","0","1","6","0","0","0","2","1","0","1","1","3","254","1","0","7","0","5","6","0","6","4","2","5","10","0","1","1","2","0","1","0","31","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"8769","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","Stereum_ostrea","0","5","7","0","0","0","0","0","26","13","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","108","0","0","0","1","72","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","2","0","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8770","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","Stereum_rugosum","0","5","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","5","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","3","1","0","2","0","0","0","0","0","0","0","6","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51"
"8771","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","Stereum_sanguinolentum","22","1","16","25","4","1","1","1","6","1","8","2","1","13","1","1","3","4","4","1","42","1","1","1","8","7","3","5","1","1","1","3","1","2","1","20","1","2","5","5173","30","2","4","1","23","15","1","1","22","3","1","1","1","1","2","6","2","1","5","1","1","1","1","2","11","1","3","1","1","11","8","1","10","3","1","2","8","1","2","1","1","2","3","1","2","1","1","1","2","8","5","2","1","5","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","1","2","3","0","0","0","0","0","0","0","0","1","0"
"8772","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","Stereum_sp","2","0","49","23","7","6","2","2","0","1","1","1","61","1","0","1","0","0","0","0","12","0","0","0","49","0","0","49","0","0","0","0","0","0","1","4","0","0","0","2","0","0","0","2","0","0","1","0","0","1","1","1","0","0","0","22","0","1","0","0","0","0","3","35","6","6","1","2","12","0","0","0","710","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","2","2","0","1","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"8777","Fungi","Basidiomycota","Agaricomycetes","Russulales","Xenasmataceae","Xenasmatella","Xenasmatella_bambusicola","0","0","0","8","5","1","0","0","8","0","140","0","14","9","0","2","0","10","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","10","11","0","0","0","0","0","0","0","4","11","0","0","0","0","0","6","24","0","0","0","0","0","0","2","1","0","0","0","4","0","0","0","1","96","0","0","1","2","0","0","0","3","0","0","0","0","2","0","1","1","0","1","3","10","0","0","0","0","0","0","0","0","0","770","0","0","0","0","0","0","1","0","0","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","113","11","132","0","0","0","0","0","0","0","0"
"8778","Fungi","Basidiomycota","Agaricomycetes","Russulales","Xenasmataceae","Xenasmatella","Xenasmatella_borealis","0","54","1","1","0","2","0","1","33","915","2","595","1","14","10","1","0","3","3","0","2","0","0","2","1","0","1","2","2","0","5","10","1","2","3","1","17","0","1","5","3","0","1","5","22","1","0","10","43","0","3","3","57","0","1","1","58","58","6","1","1","0","7","0","2","8","1","33","12","0","1","1","1","6","2","0","3","1","1","0","15","4","3","63","1","5","2","6","0","0","21","0","0","2","3","2","1","4","20","1","4","2","1","3","4","1","13","1","1","1","1","2","1","26","15","1","7","1","2","1","1","0","1","2","2","1","206","1","1","2","5","3","399","368","56","3","30","1","1","1","1","2","1","1","47"
"8779","Fungi","Basidiomycota","Agaricomycetes","Russulales","Xenasmataceae","Xenasmatella","Xenasmatella_christiansenii","19","2","5","1","20","201","152","1","1","1","168","1","7","3","139","1","4","2","1","1","1","1","3","1","12","18","1","3","8","1","9","1","1","7","1","2","2","5","2","4","1","1","6","1","1","28","4","2","2","2","2","2","3","3","1","8","2","3","2","1","2","1","1","1","1","3","8","1","1","10","2","1","4","8","1","2","1","1","1","4","1","47","2","2","1","1","2","2","3","54","1","9","1","5","3","1","28","2","13","40","1","0","3","1","4","1","1","3","1","1","1","4","3","1","1","1","1","1","12","1","2","0","32","1","3","2","14","2","1","2","1","25","7","1","1","5","2","1","1","1","3","2","8","2","183"
"8780","Fungi","Basidiomycota","Agaricomycetes","Russulales","Xenasmataceae","Xenasmatella","Xenasmatella_rhizomorpha","2","0","263","4","0","1","1","3","9510","55","1","1","1","1","1","91","2","0","0","5","1","1","2","2","0","1","0","0","18","3","2","1","19","0","1","1","1","0","0","17","7","9","19","0","1","0","36","1","9","0","1","1","1","2","5","6","0","1","0","1","8","4","2","1","4","5","1","2","2","1","1","0","0","80","1","9","2","109","1","120","0","2","0","9","16","1","1","20","2","6","1","1","0","6","0","1","4","0","2","372","1","0","1","205","1","0","7","5","5","0","1","4","1","0","0","372","0","1","5","1","1","0","0","2","0","5","0","1","1","4","1","0","13","109","0","11","4499","21","22","1","0","0","2","0","2"
