"","barcode01.csv","barcode02.csv","barcode03.csv","barcode04.csv","barcode05.csv","barcode06.csv","barcode07.csv","barcode09.csv","barcode10.csv","barcode11.csv","barcode12.csv","barcode13.csv","barcode14.csv","barcode15.csv","barcode16.csv","barcode17.csv","barcode18.csv","barcode19.csv","barcode20.csv","barcode21.csv","barcode22.csv","barcode23.csv","barcode24.csv","barcode25.csv","barcode26.csv","barcode27.csv","barcode28.csv","barcode29.csv","barcode30.csv","barcode31.csv","barcode32.csv","barcode33.csv","barcode34.csv","barcode37.csv","barcode38.csv","barcode39.csv","barcode40.csv","barcode41.csv","barcode42.csv","barcode43.csv","barcode44.csv","barcode45.csv","barcode46.csv","barcode47.csv","barcode48.csv","barcode49.csv","barcode50.csv","barcode51.csv","barcode52.csv","barcode53.csv","barcode54.csv","barcode55.csv","barcode56.csv","barcode57.csv","barcode58.csv","barcode59.csv","barcode60.csv","barcode61.csv","barcode62.csv","barcode63.csv","barcode64.csv","barcode65.csv","barcode66.csv","barcode67.csv","barcode68.csv","barcode69.csv","barcode70.csv","barcode71.csv","barcode72.csv","barcode73.csv","barcode74.csv","barcode75.csv","barcode76.csv","barcode77.csv","barcode78.csv","barcode79.csv","barcode80.csv","barcode81.csv","barcode82.csv","barcode83.csv","barcode84.csv","barcode85.csv","barcode86.csv","barcode87.csv","barcode88.csv","barcode89.csv","barcode90.csv","barcode91.csv","barcode92.csv","barcode93.csv","barcode94.csv","barcode95.csv","barcode96.csv"
"k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp",92,118,448,3,1,2,34895,29,20,567,1,18304,2,2,0,139,151,1,94536,17513,1,2221,1,106,0,2328,30932,6867,109,4,0,108,1,296,575,6839,1,106,1301,2720,50627,3,2217,7384,0,96,4,1,1,18813,29759,20776,0,93,221,1,8,2059,1,10,0,95,2665,1,2,100,3,1,7,97,8644,11401,113,11437,8883,0,0,134,1,15014,16061,1,2,0,0,118,293,4313,1,1,1,1,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideales_fam_Incertae_sedis;g__Hormonema;s__Hormonema_macrosporum",1,11,1,9,30,1,10,0,0,2,6,4,349,1,0,35,23,45,179,9,35,4,0,3,0,7,151,13,0,0,0,2,0,1,1,1,0,5,15,14,517,9,0,2,0,1,1,1,6,16,13,5,0,26,4,117,31,1,7,0,0,0,208,10,16,0,7,0,0,1,3,1,0,1,75,0,0,19,1008,1,408,3,1886,0,0,1,1,1,124,897,0,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideales_fam_Incertae_sedis;g__Hormonema;s__Hormonema_sp",3,1,1,390,1256,1,1,0,0,0,143,1,2,1150,0,3,0,5,7,11,40,1,0,7,0,2,1,86,1,11,0,21,1,40,1,0,0,0,3,3,1,21,1,3,0,2,4,2,4,2,18,5,0,0,34,3,66,1,1,0,0,3,10,32,2161,8,58,0,0,0,375,1,0,47,89,0,0,3,90,1,1,2899,2,0,0,1,1,407,15,34,1,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis;f__Dothideomycetes_fam_Incertae_sedis;g__Dothideomycetes_gen_Incertae_sedis;s__Dothideomycetes_sp",7,1,8,3,1,3,1,3,1,231,1,2624,52,7,0,2,3,1,3662,1,6,2,0,1,0,1,1342,1,2,1,0,1,21,2,30,3,1,7,35,75,8,1,13,3,0,3,2,1,869,3,1,1,0,2,2,1,12,3,5,1,0,2,2,4,102,14,114,0,0,22,21,6,0,1,11,0,0,6,3,123,366,13,1,0,0,27,2,121,102,5,1811,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Gloniales;f__Gloniaceae;g__Cenococcum;s__Cenococcum_sp",1,24,1,1,2,37,3,0,0,3,556,2,2,171,0,0,0,2,2437,3366,16559,2,0,0,0,1,4,0,0,0,0,1,0,4,0,18,0,0,34,1,2,39,1,1,0,0,1,0,1,2,1,73,0,1,9,1,2,74,1,0,0,6,1,26,1,2,2,0,0,2,1,250,0,0,82,0,0,28,55,1,1,69,19,0,0,4,0,1,80,1,1,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales;f__Hysteriales_fam_Incertae_sedis;g__Hysteriales_gen_Incertae_sedis;s__Hysteriales_sp",17,4,3,2252,1,6,24,5,3,1,2,50,1,35,0,3,1,8,2,1,1,16,2,1,0,6,14,1,18,6,0,2,2,2,2,1,0,1,2,1,2,117,7,4,0,1,27,157,7,1,2,1,0,1,3,7,1582,5,37,5,0,2,1,4,5,1,12238,0,0,7,2,2,0,1,50,0,0,1,2,69,1,1,180,0,0,1,45,1,927,3,7,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Extremaceae;g__Petrophila;s__Petrophila_sp",3,3,0,1,11,62,48,0,0,206,4,1,1,3,0,4,1,3,2,1,1,2,0,0,0,1,28,1,0,1,0,1,0,0,0,27,0,21,1,154,52,1,0,3,0,0,68,0,1,11,30,1,0,9,0,1,1,0,56,0,0,0,1,378,5,0,3,0,0,0,1,1,0,5,1,0,0,0,1,1,6,5,7,0,0,1,2,1,2,3,2,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_sp",1,0,1,1,2,95,1,0,0,78,0,0,1,2,0,4,1,3,3,0,1,32,0,7,0,1,1,0,0,20,0,9,0,0,0,0,0,2,1,1,3,1,1,40,0,0,1,1,1,2,1,0,0,0,3,1,37,1,0,0,0,0,1,1,3,0,6,0,0,0,2,385,0,133,3130,0,0,6,117,166,6,1,49,0,0,0,4,1,6,33,1,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Mycosphaerellaceae_gen_Incertae_sedis;s__Mycosphaerellaceae_sp",8,1,71,23,2,3,1,0,1,2,27,6,1,2,0,46,13,1,57,20,1,43,0,2,0,194,2,1,3,1,0,1,2,1,9,7,0,5,1,155,21,24749,1191,2,0,5,2,1,1,3,1,2,0,2,14,119,1,5,1,1,0,26,4,24,5,41,2,0,0,1,1,2,1,5,1,0,0,1,1005,1353,1,3,1,0,0,3,1,3,3981,1,3,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Pseudocercosporella;s__Pseudocercosporella_fraxini",2,1,2,2,20,3,276,0,0,2,2,1,0,32,0,1,3,367,1,1,1,0,0,0,0,5,6,4,6,0,0,0,0,0,0,1,0,4,5,5,4,1,4,20,0,0,0,3,1,77,268,475,0,1,2,1,2,2,1,0,0,10,16,7,21,0,1,0,0,0,3,74,0,0,1,0,0,4,1,1,2,1,1,0,0,3,3,3,2,4,51,0,0
"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Pseudocercosporella;s__Pseudocercosporella_sp",1,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,4,4,2,7,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,471,3,1,579,0,1,71,133,0,1,9,13,0,0,79,1,1,0,159,0,0,0,0,0,10,0,3,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0
